cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_interpolated,bottom_mean_values_interpolated,top_interpolated_gradient,bottom_interpolated_gradient
1,36,37,exp_5,,,36,37,,
2,34,36,exp_5,-2.0,-1.0,34,36,-2.0,-1.0
3,35,36,exp_5,1.0,0.0,35,36,1.0,0.0
4,33,35,exp_5,-2.0,-1.0,33,35,-2.0,-1.0
5,32,33,exp_5,-1.0,-2.0,32,33,-1.0,-2.0
6,31,33,exp_5,-1.0,0.0,31,33,-1.0,0.0
7,32,32,exp_5,1.0,-1.0,32,32,1.0,-1.0
8,31,31,exp_5,-1.0,-1.0,31,31,-1.0,-1.0
9,33,35,exp_5,2.0,4.0,33,35,2.0,4.0
10,32,33,exp_5,-1.0,-2.0,32,33,-1.0,-2.0
11,33,34,exp_5,1.0,1.0,33,34,1.0,1.0
12,33,34,exp_5,0.0,0.0,33,34,0.0,0.0
13,34,37,exp_5,1.0,3.0,34,37,1.0,3.0
14,39,41,exp_5,5.0,4.0,39,41,5.0,4.0
15,43,49,exp_5,4.0,8.0,43,49,4.0,8.0
16,50,59,exp_5,7.0,10.0,50,59,7.0,10.0
17,60,70,exp_5,10.0,11.0,60,70,10.0,11.0
18,72,85,exp_5,12.0,15.0,72,85,12.0,15.0
19,86,101,exp_5,14.0,16.0,86,101,14.0,16.0
20,101,120,exp_5,15.0,19.0,101,120,15.0,19.0
21,133,138,exp_5,32.0,18.0,133,138,32.0,18.0
22,156,157,exp_5,23.0,19.0,156,157,23.0,19.0
23,174,174,exp_5,18.0,17.0,174,174,18.0,17.0
24,192,194,exp_5,18.0,20.0,192,194,18.0,20.0
25,196,222,exp_5,4.0,28.0,196,222,4.0,28.0
26,162,199,exp_5,-34.0,-23.0,162,199,-34.0,-23.0
27,249,255,exp_5,87.0,56.0,249,255,87.0,56.0
28,267,289,exp_5,18.0,34.0,267,289,18.0,34.0
29,289,310,exp_5,22.0,21.0,289,310,22.0,21.0
30,313,336,exp_5,24.0,26.0,313,336,24.0,26.0
31,349,352,exp_5,36.0,16.0,349,352,36.0,16.0
32,369,375,exp_5,20.0,23.0,369,375,20.0,23.0
33,385,394,exp_5,16.0,19.0,385,394,16.0,19.0
34,413,433,exp_5,28.0,39.0,413,433,28.0,39.0
35,436,457,exp_5,23.0,24.0,436,457,23.0,24.0
36,470,485,exp_5,34.0,28.0,470,485,34.0,28.0
37,479,490,exp_5,9.0,5.0,479,490,9.0,5.0
38,504,513,exp_5,25.0,23.0,504,513,25.0,23.0
39,528,539,exp_5,24.0,26.0,528,539,24.0,26.0
40,550,565,exp_5,22.0,26.0,550,565,22.0,26.0
41,575,596,exp_5,25.0,31.0,575,596,25.0,31.0
42,598,617,exp_5,23.0,21.0,598,617,23.0,21.0
43,620,640,exp_5,22.0,23.0,620,640,22.0,23.0
44,642,671,exp_5,22.0,31.0,642,671,22.0,31.0
45,662,691,exp_5,20.0,20.0,662,691,20.0,20.0
